date,cash,positions_value,equity,drawdown
2024-10-11,247.83376799999678,122870.96,123118.793768,0.0
2024-10-14,247.83376799999678,123875.84000000001,124123.67376800001,0.0
2024-10-15,247.83376799999678,122913.36,123161.193768,0.00775420168274253
2024-10-16,247.83376799999678,123447.59999999999,123695.43376799999,0.0034501073566388686
2024-10-17,247.83376799999678,123458.20000000001,123706.03376800001,0.003364708659692202
2024-10-18,247.83376799999678,123933.08,124180.913768,0.0
2024-10-21,247.83376799999678,123729.56,123977.393768,0.0016388991981507617
2024-10-22,247.83376799999678,123663.84000000001,123911.67376800001,0.00216812706422016
2024-10-23,247.83376799999678,122533.88,122781.713768,0.011267431987286237
2024-10-24,247.83376799999678,122798.88,123046.713768,0.009133448656360808
2024-10-25,247.83376799999678,122756.48,123004.31376799999,0.009474885989308948
2024-10-28,247.83376799999678,123135.96,123383.793768,0.006419021859423651
2024-10-29,247.83376799999678,123335.23999999999,123583.07376799999,0.004814266394567855
2024-10-30,247.83376799999678,122962.12,123209.95376799999,0.00781891492451082
2024-10-31,247.83376799999678,120551.68,120799.51376799999,0.027229627302608535
2024-11-01,247.83376799999678,121060.48,121308.31376799999,0.02313237930723169
2024-11-04,247.83376799999678,120799.71999999999,121047.55376799998,0.025232218904862384
2024-11-05,247.83376799999678,122260.40000000001,122508.233768,0.013469702784801247
2024-11-06,247.83376799999678,125300.48,125548.31376799999,0.0
2024-11-07,247.83376799999678,126269.32,126517.153768,0.0
2024-11-08,247.83376799999678,126816.28000000001,127064.11376800001,0.0
2024-11-11,247.83376799999678,126937.12,127184.95376799999,0.0
2024-11-12,247.83376799999678,126542.79999999999,126790.63376799999,0.0031003667361415416
2024-11-13,247.83376799999678,126604.28000000001,126852.11376800001,0.0026169762235171345
2024-11-14,247.83376799999678,125790.20000000001,126038.03376800001,0.009017733356196347
2024-11-15,247.83376799999678,124179.0,124426.833768,0.021685898514624016
2024-11-18,247.83376799999678,124687.79999999999,124935.63376799999,0.01768542530669961
2024-11-19,247.83376799999678,125143.59999999999,125391.43376799999,0.01410166805793389
2024-11-20,247.83376799999678,125186.0,125433.833768,0.01376829529060678
2024-11-21,247.83376799999678,125858.04,126105.87376799999,0.008484336928473222
2024-11-22,247.83376799999678,126248.12,126495.95376799999,0.005417307469064426
2024-11-25,247.83376799999678,126676.36,126924.193768,0.0020502425190612643
2024-11-26,247.83376799999678,127337.79999999999,127585.63376799999,0.0
2024-11-27,247.83376799999678,126951.96,127199.793768,0.0030241649361681918
2024-11-29,247.83376799999678,127740.59999999999,127988.43376799999,0.0
2024-12-02,247.83376799999678,127969.56,128217.393768,0.0
2024-12-03,247.83376799999678,128028.92,128276.753768,0.0
2024-12-04,247.83376799999678,128823.92,129071.753768,0.0
2024-12-05,247.83376799999678,128611.92,128859.753768,0.0016424972452226795
2024-12-06,247.83376799999678,128855.71999999999,129103.55376799998,0.0
2024-12-09,247.83376799999678,128192.15999999999,128439.99376799999,0.00513975007374638
2024-12-10,247.83376799999678,127793.59999999999,128041.43376799999,0.008226884303344837
2024-12-11,247.83376799999678,128781.52,129029.353768,0.000574732436361283
2024-12-12,247.83376799999678,128117.96,128365.793768,0.0057144825101076635
2024-12-13,247.83376799999678,128092.52,128340.353768,0.005911533631145882
2024-12-16,247.83376799999678,128639.48,128887.31376799999,0.0016749345288246326
2024-12-17,247.83376799999678,128109.48,128357.31376799999,0.005780166217120478
2024-12-18,247.83376799999678,124291.36,124539.193768,0.03535425529960371
2024-12-19,247.83376799999678,124253.20000000001,124501.03376800001,0.03564983198116092
2024-12-20,247.83376799999678,125323.79999999999,125571.63376799999,0.0273572639708035
2024-12-23,247.83376799999678,126074.28000000001,126322.11376800001,0.021544255900176387
2024-12-24,247.83376799999678,127475.59999999999,127723.43376799999,0.010690023316322345
2024-12-26,247.83376799999678,127484.08,127731.913768,0.01062433960930953
2024-12-27,247.83376799999678,126142.12,126389.95376799999,0.02101878624407466
2024-12-30,247.83376799999678,124702.64,124950.473768,0.03216859550948614
2024-12-31,247.83376799999678,124248.96,124496.793768,0.03568267383466733
2025-01-02,247.83376799999678,123943.68,124191.51376799999,0.03804728728712584
2025-01-03,247.83376799999678,125493.40000000001,125741.233768,0.02604358983054867
2025-01-06,247.83376799999678,126216.32,126464.153768,0.02044405380771315
2025-01-07,247.83376799999678,124789.56,125037.393768,0.03149533751260564
2025-01-08,247.83376799999678,124971.88,125219.713768,0.030083137811831813
2025-01-10,247.83376799999678,123063.88,123311.713768,0.04486197188969686
2025-01-13,247.83376799999678,123254.68,123502.51376799999,0.04338408848191044
2025-01-14,247.83376799999678,123424.28000000001,123672.11376800001,0.042070414341655614
2025-01-15,247.83376799999678,125669.36,125917.193768,0.024680652910034514
2025-01-16,247.83376799999678,125427.68,125675.51376799999,0.026552638559897476
2025-01-17,247.83376799999678,126686.96,126934.793768,0.016798608068506447
2025-01-21,247.83376799999678,127846.59999999999,128094.43376799999,0.007816361134515254
2025-01-22,247.83376799999678,128565.28000000001,128813.11376800001,0.002249666965185916
2025-01-23,247.83376799999678,129267.0,129514.833768,0.0
2025-01-24,247.83376799999678,128889.64,129137.473768,0.0029136430864434093
2025-01-27,247.83376799999678,127066.44,127314.273768,0.016990795077125004
2025-01-28,247.83376799999678,128158.23999999999,128406.07376799999,0.008560872664100638
2025-01-29,247.83376799999678,127583.71999999999,127831.55376799998,0.01299681241930383
2025-01-30,247.83376799999678,128268.48,128516.31376799999,0.007709696032105895
2025-01-31,247.83376799999678,127585.84000000001,127833.67376800001,0.012980443637919127
2025-02-03,247.83376799999678,126727.23999999999,126975.07376799999,0.019609800098647257
2025-02-04,247.83376799999678,127577.36,127825.193768,0.013045918763457263
2025-02-05,247.83376799999678,128094.64,128342.473768,0.009051936105635976
2025-02-06,247.83376799999678,128539.84000000001,128787.67376800001,0.005614492014888049
2025-02-07,247.83376799999678,127363.23999999999,127611.07376799999,0.014699165683293203
2025-02-10,247.83376799999678,128228.20000000001,128476.03376800001,0.00802070287841153
2025-02-11,247.83376799999678,128325.71999999999,128573.55376799998,0.007267738934724101
2025-02-12,247.83376799999678,127912.32,128160.153768,0.010459651304704078
2025-02-13,247.83376799999678,129262.76000000001,129510.593768,3.273756276895511e-05
2025-02-14,247.83376799999678,129256.40000000001,129504.233768,8.184390692250013e-05
2025-02-18,247.83376799999678,129635.88,129883.713768,0.0
2025-02-19,247.83376799999678,129941.15999999999,130188.99376799999,0.0
2025-02-20,247.83376799999678,129400.56,129648.393768,0.0041524247507692845
2025-02-21,247.83376799999678,127187.28000000001,127435.11376800001,0.021152940200977802
2025-02-24,247.83376799999678,126608.52,126856.353768,0.02559847728709565
2025-02-25,247.83376799999678,125978.88,126226.713768,0.030434830820344656
2025-02-26,247.83376799999678,126042.48,126290.31376799999,0.029946310261430683
2025-02-27,247.83376799999678,124030.59999999999,124278.43376799999,0.04539984394174489
2025-02-28,247.83376799999678,125966.15999999999,126213.99376799999,0.030532534932127584
2025-03-03,247.83376799999678,123759.23999999999,124007.07376799999,0.04748419832644481
2025-03-04,247.83376799999678,122294.32,122542.153768,0.0587364552000981
2025-03-05,247.83376799999678,123608.71999999999,123856.55376799998,0.04864036364920807
2025-03-06,247.83376799999678,121414.52,121662.353768,0.06549432293174236
2025-03-07,247.83376799999678,122095.04,122342.87376799999,0.0602671529513622
2025-03-10,247.83376799999678,118842.96,119090.793768,0.08524683753050008
2025-03-11,247.83376799999678,117855.04,118102.87376799999,0.09283519021229829
2025-03-12,247.83376799999678,118480.44,118728.273768,0.08803140471631014
2025-03-13,247.83376799999678,116901.04,117148.87376799999,0.10016299859600891
2025-03-14,247.83376799999678,119315.71999999999,119563.55376799998,0.08161550137590586
2025-03-17,247.83376799999678,120235.79999999999,120483.63376799999,0.07454823729028272
2025-03-18,247.83376799999678,118936.23999999999,119184.07376799999,0.08453034071075961
2025-03-19,247.83376799999678,120231.56,120479.393768,0.07458080532754358
2025-03-20,247.83376799999678,119883.88,120131.713768,0.07725138438294028
2025-03-21,247.83376799999678,119563.76000000001,119811.593768,0.07971027119614092
2025-03-24,247.83376799999678,121704.96,121952.793768,0.06326341237936822
2025-03-25,247.83376799999678,121997.52,122245.353768,0.06101621780836365
2025-03-26,247.83376799999678,120541.08,120788.913768,0.07220333860749521
2025-03-27,247.83376799999678,120220.96,120468.793768,0.07466222542069585
2025-03-28,247.83376799999678,117799.92,118047.753768,0.09325857469669042
2025-03-31,247.83376799999678,118590.68,118838.51376799999,0.08718463574752588
2025-04-01,247.83376799999678,118925.64,119173.473768,0.08461176080391188
2025-04-02,247.83376799999678,119678.23999999999,119926.07376799999,0.07883093419009579
2025-04-03,247.83376799999678,113780.40000000001,114028.233768,0.12413307402005776
2025-04-04,247.83376799999678,107119.36,107367.193768,0.17529746055698842
2025-04-07,247.83376799999678,106928.56,107176.393768,0.17676302223373055
2025-04-08,247.83376799999678,105253.76000000001,105501.593768,0.18962739695180023
2025-04-09,247.83376799999678,116307.44,116555.273768,0.1047225238125399
2025-04-10,247.83376799999678,111210.96,111458.793768,0.14386930460018504
2025-04-11,247.83376799999678,113195.28000000001,113443.11376800001,0.1286274631620669
2025-04-14,247.83376799999678,114293.44,114541.273768,0.12019234151148454
2025-04-15,247.83376799999678,113973.32,114221.153768,0.12265122832468518
2025-04-16,247.83376799999678,111439.92,111687.753768,0.14211063058809456
2025-04-17,247.83376799999678,111598.92,111846.753768,0.14088932919080946
2025-04-21,247.83376799999678,108942.56,109190.393768,0.16129320453478593
2025-04-22,247.83376799999678,111777.0,112024.833768,0.13952147162585013
2025-04-23,247.83376799999678,113509.04,113756.87376799999,0.12621742840475778
2025-04-24,247.83376799999678,115898.28000000001,116146.11376800001,0.10786533940822014
2025-04-25,247.83376799999678,116735.68,116983.51376799999,0.10143315204918542
2025-04-28,247.83376799999678,116780.20000000001,117028.03376800001,0.10109118765794545
2025-04-29,247.83376799999678,117515.84000000001,117763.67376800001,0.09544063319317304
2025-04-30,247.83376799999678,117562.48,117810.31376799999,0.09508238478330286
2025-05-01,247.83376799999678,118395.64,118643.473768,0.0886827654615289
2025-05-02,247.83376799999678,120153.12,120400.95376799999,0.07518331401687092
2025-05-05,247.83376799999678,119464.12,119711.95376799999,0.08047562007177303
2025-05-06,247.83376799999678,118465.59999999999,118713.43376799999,0.08814539284672351
2025-05-07,247.83376799999678,118963.79999999999,119211.63376799999,0.08431864846856355
2025-05-08,247.83376799999678,119792.71999999999,120040.55376799998,0.07795159718405055
2025-05-09,247.83376799999678,119640.08,119887.913768,0.07912404652544414
2025-05-12,247.83376799999678,123593.88,123841.713768,0.04875435177962121
2025-05-13,247.83376799999678,124410.08,124657.913768,0.04248500460689103
2025-05-14,247.83376799999678,124569.08,124816.913768,0.04126370320960593
2025-05-15,247.83376799999678,125177.52,125425.353768,0.03659018986266158
2025-05-16,247.83376799999678,125970.40000000001,126218.233768,0.030499966894866497
2025-05-19,247.83376799999678,126108.20000000001,126356.03376800001,0.02944150568388605
2025-05-20,247.83376799999678,125684.20000000001,125932.03376800001,0.03269830940997966
2025-05-21,247.83376799999678,123566.32,123814.153768,0.04896604402181727
2025-05-22,247.83376799999678,123615.08,123862.913768,0.048591511593316546
2025-05-23,247.83376799999678,122771.32,123019.153768,0.05507255100824279
2025-05-27,247.83376799999678,125323.79999999999,125571.63376799999,0.03546659257715941
2025-05-28,247.83376799999678,124598.76000000001,124846.593768,0.04103572694877932
2025-05-29,247.83376799999678,125090.59999999999,125338.43376799999,0.03725783462651087
2025-05-30,247.83376799999678,124950.68,125198.51376799999,0.03833257985612175
2025-06-02,247.83376799999678,125654.52,125902.353768,0.03292628567080627
2025-06-03,247.83376799999678,126371.08,126618.913768,0.02742228737370809
2025-06-04,247.83376799999678,126337.15999999999,126584.99376799999,0.027682831671795676
2025-06-05,247.83376799999678,125726.59999999999,125974.43376799999,0.032372629037370454
2025-06-06,247.83376799999678,127017.68,127265.51376799999,0.022455661691415402
2025-06-09,247.83376799999678,127132.15999999999,127379.99376799999,0.02157632468537016
2025-06-10,247.83376799999678,127852.96,128100.793768,0.01603975835101089
2025-06-11,247.83376799999678,127488.32,127736.153768,0.01884060955545139
2025-06-12,247.83376799999678,127995.0,128242.833768,0.01494872910276958
2025-06-13,247.83376799999678,126564.0,126811.833768,0.02594044167833551
2025-06-16,247.83376799999678,127768.15999999999,128015.99376799999,0.016691119096229747
2025-06-17,247.83376799999678,126676.36,126924.193768,0.0250773886909207
2025-06-18,247.83376799999678,126657.28000000001,126905.11376800001,0.025223944858594815
2025-06-20,247.83376799999678,125987.36,126235.193768,0.030369694745822816
2025-06-23,247.83376799999678,127231.79999999999,127479.63376799999,0.020810975809738168
2025-06-24,247.83376799999678,128637.36,128885.193768,0.010014671457737758
2025-06-25,247.83376799999678,128709.44,128957.273768,0.009461014824301832
2025-06-26,247.83376799999678,129716.44,129964.273768,0.00172610597482951
2025-06-27,247.83376799999678,130360.92,130608.753768,0.0
2025-06-30,247.83376799999678,130984.20000000003,131232.03376800002,0.0
2025-07-01,247.83376799999678,130941.8,131189.633768,0.00032309184566155994
2025-07-02,247.83376799999678,131535.40000000002,131783.23376800003,0.0
2025-07-03,247.83376799999678,132572.08000000002,132819.91376800003,0.0
2025-07-07,247.83376799999678,131584.15999999997,131831.993768,0.007438041269366183
2025-07-08,247.83376799999678,131512.08000000002,131759.91376800003,0.00798073097571445
